list-l-m,2,2,1,12,488212,40684
list-il-s,2,2,1,12,480271,40022
list-il-m,2,2,1,12,482832,40236
list-dl-s,2,2,1,12,527924,43993
list-dl-m,2,2,1,12,435073,36256
list-id-s,2,2,1,12,427160,35596
list-id-m,2,2,1,12,460192,38349
list-idl-s,2,2,1,12,565719,47143
list-idl-m,2,2,1,12,568952,47412
list-i-s,2,4,1,24,490565,20440
list-i-m,2,4,1,24,492237,20509
list-d-s,2,4,1,24,478981,19957
list-d-m,2,4,1,24,444592,18524
list-l-s,2,4,1,24,535045,22293
list-l-m,2,4,1,24,1157258,48219
list-il-s,2,4,1,24,656181,27340
list-il-m,2,4,1,24,771615,32150
list-dl-s,2,4,1,24,663945,27664
list-dl-m,2,4,1,24,693995,28916
list-id-s,2,4,1,24,472353,19681
list-id-m,2,4,1,24,502949,20956
list-idl-s,2,4,1,24,833422,34725
list-idl-m,2,4,1,24,644720,26863
list-i-s,2,8,1,48,475386,9903
list-i-m,2,8,1,48,560684,11680
list-d-s,2,8,1,48,539412,11237
list-d-m,2,8,1,48,606138,12627
list-l-s,2,8,1,48,893590,18616
list-l-m,2,8,1,48,1055668,21993
list-il-s,2,8,1,48,1094072,22793
list-il-m,2,8,1,48,1699539,35407
list-dl-s,2,8,1,48,919830,19163
list-dl-m,2,8,1,48,987966,20582
list-id-s,2,8,1,48,613050,12771
list-id-m,2,8,1,48,749328,15611
list-idl-s,2,8,1,48,1341933,27956
list-idl-m,2,8,1,48,1540525,32094
list-i-s,2,16,1,96,711521,7411
list-i-m,2,16,1,96,1019769,10622
list-d-s,2,16,1,96,625600,6516
list-d-m,2,16,1,96,905594,9433
list-l-s,2,16,1,96,2153171,22428
list-l-m,2,16,1,96,2270731,23653
list-il-s,2,16,1,96,2489921,25936
list-il-m,2,16,1,96,3824190,39835
list-dl-s,2,16,1,96,2489669,25934
list-dl-m,2,16,1,96,2245881,23394
list-id-s,2,16,1,96,874797,9112
list-id-m,2,16,1,96,1136657,11840
list-idl-s,2,16,1,96,2665275,27763
list-idl-m,2,16,1,96,3647506,37994
list-i-s,2,32,1,192,939293,4892
list-i-m,2,32,1,192,1606615,8367
list-d-s,2,32,1,192,953919,4968
list-d-m,2,32,1,192,1383522,7205
list-l-s,2,32,1,192,7402135,38552
list-l-m,2,32,1,192,6068117,31604
list-il-s,2,32,1,192,9634995,50182
list-il-m,2,32,1,192,8314398,43304
list-dl-s,2,32,1,192,9694728,50493
list-dl-m,2,32,1,192,8826929,45973
list-id-s,2,32,1,192,1493909,7780
list-id-m,2,32,1,192,375082,1953
list-idl-s,2,32,1,192,3289067,17130
list-idl-m,2,32,1,192,3364190,17521
list-i-s,4,1,1,12,575178,47931
list-i-m,4,1,1,12,216008,18000
list-d-s,4,1,1,12,239409,19950
list-d-m,4,1,1,12,263449,21954
list-l-s,4,1,1,12,247994,20666
list-l-m,4,1,1,12,431178,35931
list-il-s,4,1,1,12,257748,21479
list-il-m,4,1,1,12,284413,23701
list-dl-s,4,1,1,12,258849,21570
list-dl-m,4,1,1,12,250334,20861
list-id-s,4,1,1,12,169960,14163
list-id-m,4,1,1,12,260499,21708
list-idl-s,4,1,1,12,235546,19628
list-idl-m,4,1,1,12,320203,26683
list-i-s,4,2,1,24,235386,9807
list-i-m,4,2,1,24,249622,10400
list-d-s,4,2,1,24,232420,9684
list-d-m,4,2,1,24,216336,9014
list-l-s,4,2,1,24,255329,10638
list-l-m,4,2,1,24,259014,10792
list-il-s,4,2,1,24,286718,11946
list-il-m,4,2,1,24,325798,13574
list-dl-s,4,2,1,24,284880,11870
list-dl-m,4,2,1,24,360005,15000
list-id-s,4,2,1,24,247671,10319
list-id-m,4,2,1,24,280676,11694
list-idl-s,4,2,1,24,330407,13766
list-idl-m,4,2,1,24,292416,12184
list-i-s,4,4,1,48,224285,4672
list-i-m,4,4,1,48,486691,10139
list-d-s,4,4,1,48,554047,11542
list-d-m,4,4,1,48,273894,5706
list-l-s,4,4,1,48,402383,8382
list-l-m,4,4,1,48,1048364,21840
list-il-s,4,4,1,48,471170,9816
list-il-m,4,4,1,48,626164,13045
list-dl-s,4,4,1,48,403705,8410
list-dl-m,4,4,1,48,1294320,26965
list-id-s,4,4,1,48,864037,18000
list-id-m,4,4,1,48,417975,8707
list-idl-s,4,4,1,48,464728,9681
list-idl-m,4,4,1,48,543626,11325
list-i-s,4,8,1,96,302261,3148
list-i-m,4,8,1,96,440728,4590
list-d-s,4,8,1,96,334646,3485
list-d-m,4,8,1,96,423830,4414
list-l-s,4,8,1,96,703124,7324
list-l-m,4,8,1,96,1102296,11482
list-il-s,4,8,1,96,1605553,16724
list-il-m,4,8,1,96,1111465,11577
list-dl-s,4,8,1,96,1578798,16445
list-dl-m,4,8,1,96,1638765,17070
list-id-s,4,8,1,96,625704,6517
list-id-m,4,8,1,96,756045,7875
list-idl-s,4,8,1,96,1738126,18105
list-idl-m,4,8,1,96,2184271,22752
list-i-s,4,16,1,192,468235,2438
list-i-m,4,16,1,192,767718,3998
list-d-s,4,16,1,192,467022,2432
list-d-m,4,16,1,192,629727,3279
list-l-s,4,16,1,192,4698820,24473
list-l-m,4,16,1,192,1512402,7877
list-il-s,4,16,1,192,5394607,28096
list-il-m,4,16,1,192,6238277,32491
list-dl-s,4,16,1,192,7527789,39207
list-dl-m,4,16,1,192,5949164,30985
list-id-s,4,16,1,192,1435964,7478
list-id-m,4,16,1,192,2460572,12815
list-idl-s,4,16,1,192,10300152,53646
list-idl-m,4,16,1,192,8250634,42972
list-i-s,4,32,1,384,1637128,4263
list-i-m,4,32,1,384,3167943,8249
list-d-s,4,32,1,384,1584524,4126
list-d-m,4,32,1,384,2789589,7264
list-l-s,4,32,1,384,25984198,67667
